302,gid302,-48,-68,0
303,gid303,-48,-64,0
304,gid304,-48,-60,0
305,gid305,-48,-56,0
306,gid306,-48,-52,0
307,gid307,-48,-48,0
308,gid308,-48,-44,0
309,gid309,-48,-40,0
310,gid310,-48,-36,0
311,gid311,-48,-32,0
312,gid312,-48,-28,0
313,gid313,-48,-24,0
314,gid314,-48,-20,0
315,gid315,-48,-16,0
316,gid316,-48,-12,0
317,gid317,-48,-8,0
318,gid318,-48,-4,0
319,gid319,-48,0,0
320,gid320,-48,4,0
321,gid321,-48,8,0
322,gid322,-48,12,0
323,gid323,-48,16,0
324,gid324,-48,20,0
325,gid325,-48,24,0
326,gid326,-48,28,0
327,gid327,-48,32,0
328,gid328,-48,36,0
329,gid329,-48,40,0
330,gid330,-48,44,0
331,gid331,-48,48,0
332,gid332,-48,52,0
333,gid333,-48,56,0
334,gid334,-48,60,0
335,gid335,-48,64,0
336,gid336,-48,68,0
337,gid337,-48,72,0
338,gid338,-48,76,0
339,gid339,-48,80,0
340,gid340,-48,84,0
341,gid341,-48,88,0
342,gid342,-48,92,0
343,gid343,-48,96,0
344,gid344,-48,100,0
345,gid345,-48,104,0
346,gid346,-48,108,0
347,gid347,-48,112,0
348,gid348,-48,116,0
349,gid349,-48,120,0
350,gid350,-48,124,0
351,gid351,-48,128,0
352,gid352,-48,132,0
353,gid353,-48,136,0
354,gid354,-48,140,0
355,gid355,-48,144,0
356,gid356,-48,148,0
357,gid357,-48,152,0
358,gid358,-48,156,0
359,gid359,-48,160,0
360,gid360,-48,164,0
361,gid361,-48,168,0
362,gid362,-48,172,0
363,gid363,-48,176,0
364,gid364,-44,-180,0
365,gid365,-44,-176,0
366,gid366,-44,-172,0
367,gid367,-44,-168,0
368,gid368,-44,-164,0
369,gid369,-44,-160,0
370,gid370,-44,-156,0
371,gid371,-44,-152,0
372,gid372,-44,-148,0
373,gid373,-44,-144,0
374,gid374,-44,-140,0
375,gid375,-44,-136,0
376,gid376,-44,-132,0
377,gid377,-44,-128,0
378,gid378,-44,-124,0
379,gid379,-44,-120,0
380,gid380,-44,-116,0
381,gid381,-44,-112,0
382,gid382,-44,-108,0
383,gid383,-44,-104,0
384,gid384,-44,-100,0
385,gid385,-44,-96,0
386,gid386,-44,-92,0
387,gid387,-44,-88,0
388,gid388,-44,-84,0
389,gid389,-44,-80,0
390,gid390,-44,-76,0
391,gid391,-44,-72,0
392,gid392,-44,-68,0
393,gid393,-44,-64,0
394,gid394,-44,-60,0
395,gid395,-44,-56,0
396,gid396,-44,-52,0
397,gid397,-44,-48,0
398,gid398,-44,-44,0
399,gid399,-44,-40,0
400,gid400,-44,-36,0
401,gid401,-44,-32,0
402,gid402,-44,-28,0
403,gid403,-44,-24,0
404,gid404,-44,-20,0
405,gid405,-44,-16,0
406,gid406,-44,-12,0
407,gid407,-44,-8,0
408,gid408,-44,-4,0
409,gid409,-44,0,0
410,gid410,-44,4,0
411,gid411,-44,8,0
412,gid412,-44,12,0
413,gid413,-44,16,0
414,gid414,-44,20,0
415,gid415,-44,24,0
416,gid416,-44,28,0
417,gid417,-44,32,0
418,gid418,-44,36,0
419,gid419,-44,40,0
420,gid420,-44,44,0
421,gid421,-44,48,0
422,gid422,-44,52,0
423,gid423,-44,56,0
424,gid424,-44,60,0
425,gid425,-44,64,0
426,gid426,-44,68,0
427,gid427,-44,72,0
428,gid428,-44,76,0
429,gid429,-44,80,0
430,gid430,-44,84,0
431,gid431,-44,88,0
432,gid432,-44,92,0
433,gid433,-44,96,0
434,gid434,-44,100,0
435,gid435,-44,104,0
436,gid436,-44,108,0
437,gid437,-44,112,0
438,gid438,-44,116,0
439,gid439,-44,120,0
440,gid440,-44,124,0
441,gid441,-44,128,0
442,gid442,-44,132,0
443,gid443,-44,136,0
444,gid444,-44,140,0
445,gid445,-44,144,0
446,gid446,-44,148,0
447,gid447,-44,152,0
448,gid448,-44,156,0
449,gid449,-44,160,0
450,gid450,-44,164,0
451,gid451,-44,168,0
452,gid452,-44,172,0
453,gid453,-44,176,0
454,gid454,-40,-180,0
455,gid455,-40,-176,0
456,gid456,-40,-172,0
457,gid457,-40,-168,0
